dataset,format,bytes,mb,ratio_vs_cityjsonseq,baseline_format,ratio_vs_baseline
craig_vichy_unesco_lod3,cityjsonseq,33620631,32.06313228607178,1.0,cityjsonseq,1.0
craig_vichy_unesco_lod3,cityparquet,9807710,9.353361129760742,3.4279797220757953,cityjsonseq,3.4279797220757953
craig_vichy_unesco_lod3,cityparquet-hilbert,9630602,9.184457778930664,3.4910207067014087,cityjsonseq,3.4910207067014087
craig_voironnais_lod2_solar,citygml,184180804,175.64850234985352,0.1650799450305364,cityjsonseq,0.1650799450305364
craig_voironnais_lod2_solar,cityjson,31582578,30.11949348449707,0.9627002900143237,cityjsonseq,0.9627002900143237
craig_voironnais_lod2_solar,cityjsonseq,30404557,28.996045112609863,1.0,cityjsonseq,1.0
craig_voironnais_lod2_solar,cityjsonseq-gz,7536619,7.1874799728393555,4.034243604459772,cityjsonseq,4.034243604459772
craig_voironnais_lod2_solar,flatcitybuf,27147794,25.890153884887695,1.1199641856719555,cityjsonseq,1.1199641856719555
craig_voironnais_lod2_solar,cityparquet,9312571,8.881159782409668,3.264893980405626,cityjsonseq,3.264893980405626
craig_voironnais_lod2_solar,cityparquet-hilbert,9028917,8.61064624786377,3.3674644478402005,cityjsonseq,3.3674644478402005
estonia_anija_lod2,citygml,50875273,48.51844120025635,0.1634403023252573,cityjsonseq,0.1634403023252573
estonia_anija_lod2,cityjson,9817936,9.363113403320312,0.8469264823074829,cityjsonseq,0.8469264823074829
estonia_anija_lod2,cityjsonseq,8315070,7.929868698120117,1.0,cityjsonseq,1.0
estonia_anija_lod2,cityjsonseq-gz,1453529,1.3861932754516602,5.720608257557985,cityjsonseq,5.720608257557985
estonia_anija_lod2,flatcitybuf,7204754,6.870988845825195,1.1541088009389355,cityjsonseq,1.1541088009389355
estonia_anija_lod2,cityparquet,3096973,2.9535036087036133,2.684902322364451,cityjsonseq,2.684902322364451
estonia_anija_lod2,cityparquet-hilbert,2981136,2.8430328369140625,2.7892286698761812,cityjsonseq,2.7892286698761812
estonia_canopies_lod1,citygml,323358932,308.3791084289551,0.11888692160821461,cityjsonseq,0.11888692160821461
estonia_canopies_lod1,cityjson,44701686,42.630849838256836,0.8599932449975153,cityjsonseq,0.8599932449975153
estonia_canopies_lod1,cityjsonseq,38443148,36.6622428894043,1.0,cityjsonseq,1.0
estonia_canopies_lod1,cityjsonseq-gz,5038168,4.804771423339844,7.630382313571124,cityjsonseq,7.630382313571124
estonia_canopies_lod1,flatcitybuf,41080584,39.17749786376953,0.9357984784247468,cityjsonseq,0.9357984784247468
estonia_canopies_lod1,cityparquet,16695071,15.921660423278809,2.3026645409294755,cityjsonseq,2.3026645409294755
estonia_canopies_lod1,cityparquet-hilbert,15822044,15.08907699584961,2.429720711179921,cityjsonseq,2.429720711179921
freiburg_lod2,citygml,1998672154,1906.0823001861572,0.14073331408408665,cityjsonseq,0.14073331408408665
freiburg_lod2,cityjson,290240329,276.7947473526001,0.9691270574600265,cityjsonseq,0.9691270574600265
freiburg_lod2,cityjsonseq,281279756,268.2492790222168,1.0,cityjsonseq,1.0
